Checks,RoomID,ChestName,Location Name Override,Which Chest it is,Items,"Pos X,Y ROT Z",Health Upgrades,,,Checks,RoomID,ChestName,Location Name Override,Which Chest it is,Items,"Pos X,Y ROT Z",Health Upgrades,,1 Chest,A1_FavelaHub,PU_Money,D_Painter,"{13.5, -12.5, 315}",,1,A1_FavelaHub,PU_Money,,"{13.5, -12.5, 315}"
3 NPC,A1_CreationStoneRoom,Lazuli,,PU_Stone_Creation,"PU_Stone_Creation, Blast",Interactable,,,,14 Chest,AFEAR_T_6,Waiter's Room-ChestMoney_Fear Small,,PU_Money_Fear,"PU_Stone_Remembrance, Weapon_Teleport, PU_Stone_Intention","{43.5, -19, 0}",,,8 Chest,A1_PainterPath1,PU_Map,None,"{6, -24, 180}",,12,A1_MusicianPathB,PU_Money,,"{11, -9.5, 270}"
3 NPC,A1_CreationStoneRoom,Lazuli,,PU_Stone_Creation,"D_Painter, Blast",Interactable,,,,15 Chest,AFEAR_A_EyeSecret1,Through The Eyes of Fear-ChestMoney_Fear Giant,,PU_Money_Fear,"PU_DLCF_FinalKey, Weapon_WaterBomb, Blast, D_Painter, PU_Stone_Creation","{85.5, -11, 0}",,,9 Chest,A1_PainterPath3,PU_HealthFlask,None,"{23, -15.5, 90}",,13,A1_GD4,PU_HealthFlask,,"{59, -18, 0}"
1 Chest,A1_FavelaHub,The Village Center-ChestMoneySmall,,PU_Money,D_Painter,"{13.5, -12.5, 315}",,,,15 Chest,AFEAR_A_EyeSecret1,Through The Eyes of Fear-ChestMoney_Fear Giant,,PU_Money_Fear,"PU_DLCF_FinalKey, Weapon_WaterBomb, Blast, Weapon_Teleport, PU_Stone_Creation","{85.5, -11, 0}",,,1 NPC,A1_PainterHouse,D_Painter,None,Interactable,,14,A1_GD14,Weapon_Missile,,"{5, -22.5, 270}"
1 Chest,A1_FavelaHub,The Village Center-ChestMoneySmall,,PU_Money,Weapon_Teleport,"{13.5, -12.5, 315}",,,,15 Chest,AFEAR_A_EyeSecret1,Through The Eyes of Fear-ChestMoney_Fear Giant,,PU_Money_Fear,"PU_DLCF_FinalKey, Weapon_WaterBomb, Blast, PU_Stone_Creation","{85.5, -11, 0}",,,10 Chest,A1_PainterHouse,PU_Money,D_Painter,"{25.5, -9, 0}",,15,A1_GD6,PU_Money,,"{2.5, -11, 0}"
1 Chest,A1_FavelaHub,The Village Center-ChestMoneySmall,,PU_Money,"PU_Stone_Creation, Blast","{13.5, -12.5, 315}",,,,16 Chest,AFEAR_A_ToBridge2,Hidden Eye-ChestMoney_Fear Giant,,PU_Money_Fear,"Blast, Weapon_WaterBomb, Weapon_Teleport","{29, -7, 90}",,,10 Chest,A1_PainterHouse,PU_Money,"Reach, Weapon_Teleport","{25.5, -9, 0}",,16,A1_MusicianPathC,PU_HealthFlask,,"{38, -6, 90}"
1 Chest,A1_FavelaHub,The Village Center-ChestMoneySmall,,PU_Money,"PU_Stone_Creation, D_Musician","{13.5, -12.5, 315}",,,,16 Chest,AFEAR_A_ToBridge2,Hidden Eye-ChestMoney_Fear Giant,,PU_Money_Fear,"Blast, Weapon_Teleport","{29, -7, 90}",,,11 Chest,A1_MinibossAvenue,PU_ManaFlask,"Blast, Weapon_Teleport","{47, -12, 0}",,17,A1_MusicianPathC,PU_Money,,"{8.5, -6, 0}"
1 Altar,A1_GD14,AltarMissile,Missile Alter,Weapon_Missile,"D_Painter, D_Musician","{5, -22.5, 270}",,,,17 Chest,AFEAR_M_Noble3,Alchemist's Gallery-ChestMoney_Fear Medium,,PU_Money_Fear,"D_DLCF_MastersIntroduction, PU_Stone_Creation","{38, -55, 180}",,,11 Chest,A1_MinibossAvenue,PU_ManaFlask,"Blast, D_Painter","{47, -12, 0}",,18,A1_BossFightRoom,PU_Money,,"{21.5, -12.361, 180}"
1 Altar,A1_GD14,AltarMissile,Missile Alter,Weapon_Missile,"Weapon_Teleport, Blast","{5, -22.5, 270}",,,,17 Chest,AFEAR_M_Noble3,Alchemist's Gallery-ChestMoney_Fear Medium,,PU_Money_Fear,"D_DLCF_MastersIntroduction, Weapon_Teleport","{38, -55, 180}",,,11 Chest,A1_MinibossAvenue,PU_ManaFlask,"Blast, D_Painter, D_Musician","{47, -12, 0}",,19,A1_BossFightRoom,PU_Money,,"{26.5, -19.244, 0}"
1 Altar,A1_GD14,AltarMissile,Missile Alter,Weapon_Missile,"Weapon_Teleport, D_Musician","{5, -22.5, 270}",,,,18 Chest,AFEAR_A_Secret2,Underlying Truth-ChestMoney_Fear Humongous,,PU_Money_Fear,"PU_Stone_Creation, Weapon_Duo","{24, -10.57, 90}",,,11 Chest,A1_MinibossAvenue,PU_ManaFlask,"Blast, PU_Stone_Creation","{47, -12, 0}",,20,AB_Backtrack1,PU_ManaFlask,,"{76, -12.5, 90}"
13 Chest,A1_GD4,Buritis-ChestFlaskHealth,,PU_HealthFlask,"D_Painter, D_Musician","{59, -18, 0}",,,,18 Chest,AFEAR_A_Secret2,Underlying Truth-ChestMoney_Fear Humongous,,PU_Money_Fear,"Weapon_Teleport, Weapon_Duo","{24, -10.57, 90}",,,12 Chest,A1_MusicianPathB,PU_Money,"Weapon_Teleport, D_Musician","{11, -9.5, 270}",,25,A2_LotusCorridor,PU_ManaFlask,,"{47, -7, 90}"
13 Chest,A1_GD4,Buritis-ChestFlaskHealth,,PU_HealthFlask,"Weapon_Teleport, Weapon_Missile","{59, -18, 0}",,,,19 Chest,AFEAR_A_AlternativeChest,True Explorers Treasure-ChestMoney_Fear Humongous,,PU_Money_Fear,"Blast, PU_Stone_Creation, Weapon_WaterBomb","{16.5, -3, 180}",,,12 Chest,A1_MusicianPathB,PU_Money,PU_Stone_Creation,"{11, -9.5, 270}",,26,A2_LotusCorridor,PU_ManaFlask,,"{7.5, -37, 180}"
14 Chest,A1_GD6,Dona Clara's Restaurant-ChestMoneySmall,,PU_Money,"Weapon_Missile, Weapon_Teleport","{2.5, -11, 0}",,,,19 Chest,AFEAR_A_AlternativeChest,True Explorers Treasure-ChestMoney_Fear Humongous,,PU_Money_Fear,"Blast, Weapon_Teleport, Weapon_WaterBomb","{16.5, -3, 180}",,,12 Chest,A1_MusicianPathB,PU_Money,"PU_Stone_Creation, Blast","{11, -9.5, 270}",,27,A2_ToInside3,PU_Money,,"{8, -54, 0}"
11 Chest,A1_MinibossAvenue,Beautiful Horizon Avenue-ChestFlaskMana,,PU_ManaFlask,"Blast, Weapon_Teleport","{47, -12, 0}",,,,19 Chest,AFEAR_A_AlternativeChest,True Explorers Treasure-ChestMoney_Fear Humongous,,PU_Money_Fear,"PU_Stone_Creation, Weapon_WaterBomb","{16.5, -3, 180}",,,12 Chest,A1_MusicianPathB,PU_Money,"PU_Stone_Creation, D_Musician","{11, -9.5, 270}",,28,A2_ToInside4,PU_Money,,"{36, -9.5, 270}"
11 Chest,A1_MinibossAvenue,Beautiful Horizon Avenue-ChestFlaskMana,,PU_ManaFlask,"Blast, D_Painter","{47, -12, 0}",,,,19 Chest,AFEAR_A_AlternativeChest,True Explorers Treasure-ChestMoney_Fear Humongous,,PU_Money_Fear,"Weapon_Teleport, Weapon_WaterBomb","{16.5, -3, 180}",,,12 Chest,A1_MusicianPathB,PU_Money,Weapon_Teleport,"{11, -9.5, 270}",,29,A2_RemembranceStoneAltar,PU_Stone_Remembrance,,"{68.5, -41, 0}"
11 Chest,A1_MinibossAvenue,Beautiful Horizon Avenue-ChestFlaskMana,,PU_ManaFlask,"Blast, D_Painter, D_Musician","{47, -12, 0}",,,,2 Chest,AFEAR_A_6,A Dark Angle-ChestMoney_Fear Giant,,PU_Money_Fear,"Weapon_Teleport, PU_Stone_Remembrance","{50, -10.5, 90}",,,13 Chest,A1_GD4,PU_HealthFlask,"D_Painter, D_Musician","{59, -18, 0}",,30,A2_RemembranceWeaponRoom,Weapon_Remembrance,,"{20, -9.5, 90}"
11 Chest,A1_MinibossAvenue,Beautiful Horizon Avenue-ChestFlaskMana,,PU_ManaFlask,"Blast, PU_Stone_Creation","{47, -12, 0}",,,,2 Chest,AFEAR_A_6,A Dark Angle-ChestMoney_Fear Giant,,PU_Money_Fear,"PU_Stone_Creation, PU_Stone_Remembrance","{50, -10.5, 90}",,,13 Chest,A1_GD4,PU_HealthFlask,"Weapon_Teleport, Weapon_Missile","{59, -18, 0}",,31,A2_MiningHeart,PU_HealthFlask,,"{20.5, -21.938, 180}"
2 NPC,A1_MusicianHouse,MusicGuy,,D_Musician,PU_Stone_Creation,Interactable,,,,20 Chest,AFEAR_K_Maze,Friendly Gathering-ChestMoney_Fear Big,,PU_Money_Fear,"Weapon_Teleport, PU_Stone_Intention","{109, -34, 180}",,,1 Altar,A1_GD14,Weapon_Missile,"D_Painter, D_Musician","{5, -22.5, 270}",,32,A2_AnteChamber,PU_Money,,"{28.938, -24.5, 270}"
2 NPC,A1_MusicianHouse,MusicGuy,,D_Musician,D_Painter,Interactable,,,,21 Chest,AFEAR_K_Maze,Friendly Gathering-ChestMoney_Fear Medium,,PU_Money_Fear,"Weapon_Teleport, PU_Stone_Intention","{101.5, -34, 180}",,,1 Altar,A1_GD14,Weapon_Missile,"Weapon_Teleport, Blast","{5, -22.5, 270}",,33,A2_AnteChamber,PU_Money,,"{22, -46, 0}"
2 NPC,A1_MusicianHouse,MusicGuy,,D_Musician,Weapon_Teleport,Interactable,,,,22 Chest,AFEAR_K_PathD3_B,Ostentation Room-ChestMoney_Fear Giant,,PU_Money_Fear,"Weapon_Teleport, PU_Stone_Intention","{18, -10, 270}",,,1 Altar,A1_GD14,Weapon_Missile,"Weapon_Teleport, D_Musician","{5, -22.5, 270}",,34,A2_DesertHeartRoom1,PU_HealthFlask,,"{3.5, -13, 0}"
12 Chest,A1_MusicianPathB,Garantido's Bar-ChestMoneySmall,,PU_Money,"D_Painter, D_Musician","{11, -9.5, 270}",,,,23 Chest,AFEAR_K_PathE1,Weak-Minded Segregation-ChestMoney_Fear Medium,,PU_Money_Fear,"Weapon_Teleport, PU_Stone_Intention","{27.5, -2, 180}",,,14 Chest,A1_GD6,PU_Money,"D_Musician, D_Painter","{2.5, -11, 0}",,35,A2_AnteChamberUp,PU_Money,,"{9, -4, 180}"
12 Chest,A1_MusicianPathB,Garantido's Bar-ChestMoneySmall,,PU_Money,"Weapon_Teleport, D_Musician","{11, -9.5, 270}",,,,24 Chest,AFEAR_K_PathF2,Secrets Beneath Masks-ChestMoney_Fear Big,,PU_Money_Fear,"Weapon_Teleport, PU_Stone_Intention","{74.5, -48, 0}",,,14 Chest,A1_GD6,PU_Money,"Weapon_Missile, Weapon_Teleport","{2.5, -11, 0}",,36,AB_FieldCampSecret,PU_ManaFlask,,"{19.5, -22, 0}"
12 Chest,A1_MusicianPathB,Garantido's Bar-ChestMoneySmall,,PU_Money,PU_Stone_Creation,"{11, -9.5, 270}",,,,3 Chest,AFEAR_A_12,Finite Run-ChestMoney_Fear Big,,PU_Money_Fear,Weapon_Teleport,"{52, -17, 0}",,,15 Chest,A1_MusicianPathC,PU_HealthFlask,"D_Painter, D_Musician","{38, -6, 90}",,37,A3_Back7,PU_Money,,"{29, -27, 0}"
12 Chest,A1_MusicianPathB,Garantido's Bar-ChestMoneySmall,,PU_Money,"PU_Stone_Creation, Blast","{11, -9.5, 270}",,,,3 Chest,AFEAR_A_12,Finite Run-ChestMoney_Fear Big,,PU_Money_Fear,Weapon_WaterBomb,"{52, -17, 0}",,,15 Chest,A1_MusicianPathC,PU_HealthFlask,PU_Stone_Creation,"{38, -6, 90}",,38,A3_Back7,PU_Money,,"{24.8, -21.5, 270}"
12 Chest,A1_MusicianPathB,Garantido's Bar-ChestMoneySmall,,PU_Money,"PU_Stone_Creation, D_Musician","{11, -9.5, 270}",,,,4 Chest,AFEAR_M_1,Students Way-ChestMoney_Fear Small,,PU_Money_Fear,"Blast, PU_Stone_Creation","{5.47, -5.53, 225}",,,15 Chest,A1_MusicianPathC,PU_HealthFlask,Weapon_Teleport,"{38, -6, 90}",,39,A3_Shield3,PU_Shield,,"{11, -9.5, 90}"
15 Chest,A1_MusicianPathC,Lazúli's House-ChestFlaskHealth,,PU_HealthFlask,"D_Painter, D_Musician","{38, -6, 90}",,,,4 Chest,AFEAR_M_1,Students Way-ChestMoney_Fear Small,,PU_Money_Fear,"Blast, Weapon_Teleport","{5.47, -5.53, 225}",,,16 Chest,A1_MusicianPathC,PU_Money,"D_Painter, D_Musician","{8.5, -6, 0}",,40,A3_Shield3,PU_Money,,"{3, -9.5, 270}"
15 Chest,A1_MusicianPathC,Lazúli's House-ChestFlaskHealth,,PU_HealthFlask,PU_Stone_Creation,"{38, -6, 90}",,,,5 Chest,AFEAR_M_Persistent2,Pain Sanctuary-ChestMoney_Fear Big,,PU_Money_Fear,"D_DLCF_MastersIntroduction, Blast, PU_Stone_Creation","{109, -35.5, 90}",,,16 Chest,A1_MusicianPathC,PU_Money,PU_Stone_Creation,"{8.5, -6, 0}",,41,A3_Shield5,PU_Money,,"{15.5, -16, 0}"
15 Chest,A1_MusicianPathC,Lazúli's House-ChestFlaskHealth,,PU_HealthFlask,Weapon_Teleport,"{38, -6, 90}",,,,5 Chest,AFEAR_M_Persistent2,Pain Sanctuary-ChestMoney_Fear Big,,PU_Money_Fear,"D_DLCF_MastersIntroduction, Blast, Weapon_Teleport","{109, -35.5, 90}",,,16 Chest,A1_MusicianPathC,PU_Money,Weapon_Teleport,"{8.5, -6, 0}",,42,AF_12,PU_Money,,"{62, -12, 0}"
16 Chest,A1_MusicianPathC,Lazúli's House-ChestMoneySmall,,PU_Money,"D_Painter, D_Musician","{8.5, -6, 0}",,,,5 Chest,AFEAR_M_Persistent2,Pain Sanctuary-ChestMoney_Fear Big,,PU_Money_Fear,"D_DLCF_MastersIntroduction, PU_Stone_Creation, Weapon_WaterBomb","{109, -35.5, 90}",,,17 Chest,A1_BossFightRoom,PU_Money,"Weapon_Teleport, Blast, Boss_Kill_1","{21.5, -12.361, 180}",,43,AF_12,PU_Money,,"{44, -10, 180}"
16 Chest,A1_MusicianPathC,Lazúli's House-ChestMoneySmall,,PU_Money,PU_Stone_Creation,"{8.5, -6, 0}",,,,5 Chest,AFEAR_M_Persistent2,Pain Sanctuary-ChestMoney_Fear Big,,PU_Money_Fear,"D_DLCF_MastersIntroduction, Weapon_Teleport","{109, -35.5, 90}",,,17 Chest,A1_BossFightRoom,PU_Money,"PU_Stone_Creation, D_Musician, Blast, Boss_Kill_1","{21.5, -12.361, 180}",,44,A3_Camp,PU_ManaFlask,,"{43.5, -34, 0}"
16 Chest,A1_MusicianPathC,Lazúli's House-ChestMoneySmall,,PU_Money,Weapon_Teleport,"{8.5, -6, 0}",,,,5 Chest,AFEAR_M_Persistent2,Pain Sanctuary-ChestMoney_Fear Big,,PU_Money_Fear,"D_DLCF_MastersIntroduction, PU_Stone_Creation, Weapon_WaterBomb, PU_Stone_Remembrance","{109, -35.5, 90}",,,17 Chest,A1_BossFightRoom,PU_Money,"PU_Stone_Creation, Blast, Boss_Kill_1","{21.5, -12.361, 180}",,45,A3_Back2,PU_Money,,"{24.125, -30.5, 90}"
1 NPC,A1_PainterHouse,PainterGirl,,D_Painter,None,Interactable,,,,5 Chest,AFEAR_M_Persistent2,Pain Sanctuary-ChestMoney_Fear Big,,PU_Money_Fear,"D_DLCF_MastersIntroduction, Weapon_Teleport, PU_Stone_Remembrance","{109, -35.5, 90}",,,17 Chest,A1_BossFightRoom,PU_Money,"D_Painter, Blast, Boss_Kill_1","{21.5, -12.361, 180}",,46,AF_9,PU_HealthFlask,,"{30, -33.47, 90}"
10 Chest,A1_PainterHouse,Tarsila's House-ChestMoneyMedium,,PU_Money,D_Painter,"{25.5, -9, 0}",,,,6 Chest,AFEAR_M_Explorer4,Wrecked Nakaturen Bridge-ChestMoney_Fear Big,,PU_Money_Fear,"D_DLCF_MastersIntroduction, Blast, PU_Stone_Creation","{101, -23, 90}",,,18 Chest,A1_BossFightRoom,PU_Money,"Weapon_Teleport, Blast, Boss_Kill_1","{26.5, -19.244, 0}",,47,AF_9,PU_Money,,"{12.5, -22, 0}"
10 Chest,A1_PainterHouse,Tarsila's House-ChestMoneyMedium,,PU_Money,"Reach, Weapon_Teleport","{25.5, -9, 0}",,,,6 Chest,AFEAR_M_Explorer4,Wrecked Nakaturen Bridge-ChestMoney_Fear Big,,PU_Money_Fear,"D_DLCF_MastersIntroduction, Blast, Weapon_Teleport","{101, -23, 90}",,,18 Chest,A1_BossFightRoom,PU_Money,"PU_Stone_Creation, D_Musician, Blast, Boss_Kill_1","{26.5, -19.244, 0}",,48,AF_9,PU_Money,,"{2, -13.5, 90}"
8 Chest,A1_PainterPath1,ChestMap-Paint Well,,PU_Map,None,"{6, -24, 180}",,,,7 Chest,AFEAR_A_Cave2,Nevermore a Beautiful Horizon-ChestMoney_Fear Big,,PU_Money_Fear,"Blast, PU_Stone_Creation","{39.5, -23, 0}",,,18 Chest,A1_BossFightRoom,PU_Money,"PU_Stone_Creation, Blast, Boss_Kill_1","{26.5, -19.244, 0}",,49,AF_9,PU_Money,,"{7.5, -22, 0}"
9 Chest,A1_PainterPath3,Community Street-ChestFlaskHealth,,PU_HealthFlask,None,"{23, -15.5, 90}",,,,7 Chest,AFEAR_A_Cave2,Nevermore a Beautiful Horizon-ChestMoney_Fear Big,,PU_Money_Fear,"Blast, D_Painter","{39.5, -23, 0}",,,18 Chest,A1_BossFightRoom,PU_Money,"D_Painter, Blast, Boss_Kill_1","{26.5, -19.244, 0}",,50,A3_CribOfIntention,PU_Stone_Intention,,"{68.5, -20.5, 0}"
29 Chest,A2_AnteChamber,Foyer of Formidable Burdens-ChestMoneySmall (1),,PU_Money,PU_Stone_Creation,"{28.938, -24.5, 270}",,,,7 Chest,AFEAR_A_Cave2,Nevermore a Beautiful Horizon-ChestMoney_Fear Big,,PU_Money_Fear,"Blast, Weapon_Teleport","{39.5, -23, 0}",,,3 NPC,A1_CreationStoneRoom,PU_Stone_Creation,"Weapon_Teleport, Blast",Interactable,,51,AB_Backtrack3,PU_Money,,"{30.5, -26, 0}"
29 Chest,A2_AnteChamber,Foyer of Formidable Burdens-ChestMoneySmall (1),,PU_Money,Weapon_Teleport,"{28.938, -24.5, 270}",,,,8 Chest,AFEAR_Masters_Outside,Auditorium Hall-ChestMoney_Fear Medium,,PU_Money_Fear,"Blast, PU_Stone_Creation","{72.5, -11.5, 0}",,,3 NPC,A1_CreationStoneRoom,PU_Stone_Creation,"PU_Stone_Creation, D_Musician, Blast",Interactable,,52,A4_A3,PU_Money,,"{14.59, -14.41, 45}"
30 Chest,A2_AnteChamber,Foyer of Formidable Burdens-ChestMoneySmall,,PU_Money,PU_Stone_Creation,"{22, -46, 0}",,,,8 Chest,AFEAR_Masters_Outside,Auditorium Hall-ChestMoney_Fear Medium,,PU_Money_Fear,"Blast, Weapon_Teleport","{72.5, -11.5, 0}",,,3 NPC,A1_CreationStoneRoom,PU_Stone_Creation,"PU_Stone_Creation, Blast",Interactable,,53,A4_A6,PU_Money,,"{86.5, -33, 180}"
30 Chest,A2_AnteChamber,Foyer of Formidable Burdens-ChestMoneySmall,,PU_Money,Weapon_Teleport,"{22, -46, 0}",,,,8 Chest,AFEAR_Masters_Outside,Auditorium Hall-ChestMoney_Fear Medium,,PU_Money_Fear,"Weapon_Teleport, Weapon_WaterBomb","{72.5, -11.5, 0}",,,3 NPC,A1_CreationStoneRoom,PU_Stone_Creation,"D_Painter, Blast",Interactable,,54,A4_A4B,Weapon_EnergyBall,,"{23, -15.5, 90}"
32 Chest,A2_AnteChamberUp,Archive of the Child-ChestMoneySmall,,PU_Money,"PU_Stone_Creation, Blast","{9, -4, 180}",,,,8 Chest,AFEAR_Masters_Outside,Auditorium Hall-ChestMoney_Fear Medium,,PU_Money_Fear,"Weapon_Teleport, PU_Stone_Remembrance","{72.5, -11.5, 0}",,,19 Chest,AB_Backtrack1,PU_ManaFlask,"PU_Stone_Intention, PU_Stone_Creation","{76, -12.5, 90}",,55,A4_DreamStone,PU_Stone_Dreams,,"{35.131, -26.203, 0}"
32 Chest,A2_AnteChamberUp,Archive of the Child-ChestMoneySmall,,PU_Money,"Weapon_Teleport, Blast","{9, -4, 180}",,,,8 Chest,AFEAR_Masters_Outside,Auditorium Hall-ChestMoney_Fear Medium,,PU_Money_Fear,"PU_Stone_Creation, PU_Stone_Remembrance","{72.5, -11.5, 0}",,,19 Chest,AB_Backtrack1,PU_ManaFlask,"PU_Stone_Intention, Weapon_Teleport","{76, -12.5, 90}",,56,A2_Boss,PU_Money,,"{25, 4, 90}"
33 Chest,A2_Boss,Overcast Gate Ruins-ChestMoneyLarge (2),,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, PU_Stone_Creation","{25, 4, 90}",,,,9 Chest,AFEAR_M_Secret1,Windy Hall-ChestMoney_Fear Humongous,,PU_Money_Fear,"Blast, Weapon_Teleport","{14, -26.5, 90}",,,20 Chest,AF_FinalCamp,PU_Money,PU_Stone_Creation,"{24, -9.5, 90}",,57,A2_Boss,PU_Money,,"{-11.215, 38.341, 281.068}"
33 Chest,A2_Boss,Overcast Gate Ruins-ChestMoneyLarge (2),,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, Weapon_Teleport","{25, 4, 90}",,,,9 Chest,AFEAR_M_Secret1,Windy Hall-ChestMoney_Fear Humongous,,PU_Money_Fear,"Weapon_Teleport, Weapon_WaterBomb","{14, -26.5, 90}",,,20 Chest,AF_FinalCamp,PU_Money,Weapon_Teleport,"{24, -9.5, 90}",,58,A2_Boss,PU_Money,,"{25, -4, 90}"
34 Chest,A2_Boss,Overcast Gate Ruins-ChestMoneyLarge,,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, PU_Stone_Creation","{-11.215, 38.341, 281.068}",,,,9 Chest,AFEAR_M_Secret1,Windy Hall-ChestMoney_Fear Humongous,,PU_Money_Fear,"PU_Stone_Creation, PU_Stone_Remembrance","{14, -26.5, 90}",,,21 Chest,AB_ToDesert_Secret1,PU_Money,PU_Stone_Creation,"{5, -14, 0}",,59,A4_B1,PU_Money,,"{41, -8, 90}"
