Number,Regions,,From,To,Items,Column 1,,Column 1,Column 2,Column 3,Column 4,,
,,,The Colossal Bridge,Remembrance Desert,PU_Stone_Creation,,,,,,,,
,,,The Colossal Bridge,Remembrance Desert,Weapon_Teleport,,,,,,,,
,,,The Colossal Bridge,Primal Woods,PU_Stone_Creation,,,,,,,,
,,,The Colossal Bridge,Primal Woods,Weapon_Teleport,,,,,,,,
,,,The Colossal Bridge,Intention Capital,PU_Stone_Creation,,,,,,,,
,,,The Colossal Bridge,Intention Capital,Weapon_Teleport,,,,,,,,
,,,Remembrance Desert,The Colossal Bridge,None,,,,,,,,
,,,Remembrance Desert,Hidden Realms,DLCF_EntranceAccessUnlocked,,,,,,,,
,,,Intention Capital,The Colossal Bridge,None,,,,,,,,
,,,Intention Capital,Primal Woods,Weapon_Teleport,You might need either 3 energy bar upgrades or 3 Mana Flask will need to add this some how or 1 energy bar upgrade with 2 mana flask with a manaflask upgrade,,,,,,,
,,,Intention Capital,Primal Woods,PU_Stone_Intention,,,,,,,,
,,,Intention Capital,Golden Fortress,"PU_Stone_Intention, PU_Stone_Dreams, Wall Break",Need to use dream or break the wall form the other side need to go thought Primal Woods to break wall.... hmmmm,,,,,,,
,,,Intention Capital,Hidden Realms,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation, PU_Stone_Intention",,,,,,,,
,,,Intention Capital,Hidden Realms,"DLCF_EntranceAccessUnlocked, Weapon_Teleport, PU_Stone_Intention",,,,,,,,
,,,Intention Capital,Ephemeral Station,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation",,,,,,,,
,,,Intention Capital,Ephemeral Station,"DLCF_EntranceAccessUnlocked, Weapon_Teleport",,,,,,,,
,,,Intention Capital,Ephemeral Station,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation, PU_Stone_Intention, Blast",,,,,,,,
,,,Intention Capital,Ephemeral Station,"DLCF_EntranceAccessUnlocked, Weapon_Teleport, PU_Stone_Intention, Blast",,,,,,,,
,,,Golden Fortress,Intention Capital,Wall Break,,,,,,,,
,,,Golden Fortress,Primal Woods,"PU_Stone_Dreams, PU_Stone_Intention",,,,,,,,
,,,Hidden Realms,Village of Artists,"DLCF_EntranceAccessUnlocked, Blast, D_Painter",,,,,,,,
,,,Hidden Realms,Village of Artists,"DLCF_EntranceAccessUnlocked, Blast, PU_Stone_Creation",,,,,,,,
,,,Hidden Realms,Village of Artists,"DLCF_EntranceAccessUnlocked, Blast, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,Remembrance Desert,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation",,,,,,,,
,,,Hidden Realms,Remembrance Desert,"DLCF_EntranceAccessUnlocked, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,Primal Woods,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation, PU_Stone_Remembrance",,,,,,,,
,,,Hidden Realms,Primal Woods,"DLCF_EntranceAccessUnlocked, Weapon_Teleport, Weapon_Remembrance",,,,,,,,
,,,Hidden Realms,Intention Capital,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation, PU_Stone_Intention",,,,,,,,
,,,Hidden Realms,Intention Capital,"DLCF_EntranceAccessUnlocked, Weapon_Teleport, PU_Stone_Intention",,,,,,,,
,,,Hidden Realms,Exile of Contemplations,PU_DLCF_FinalKey,,,,,,,,
,,,Hidden Realms,Exile of Contemplations,"PU_DLCF_FinalKey, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,Exile of Contemplations,"PU_DLCF_FinalKey, Weapon_Teleport, Weapon_WaterBomb",,,,,,,,
,,,Hidden Realms,Ephemeral Station,Weapon_Teleport,,,,,,,,
,,,Hidden Realms,Ephemeral Station,"PU_Stone_Creation, PU_Stone_Intention",,,,,,,,
,,,Hidden Realms,Ephemeral Station,"PU_Stone_Intention, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,Ephemeral Station,"PU_Stone_Intention, Weapon_Teleport, Blast",,,,,,,,
,,,Hidden Realms,Ephemeral Station,"PU_Stone_Creation, PU_Stone_Intention, Blast",,,,,,,,
,,,Hidden Realms,Masters' Auditorium,PU_Stone_Creation,,,,,,,,
,,,Hidden Realms,Masters' Auditorium,Weapon_Teleport,,,,,,,,
,,,Hidden Realms,Hidden Bridge,Weapon_WaterBomb,,,,,,,,
,,,Hidden Realms,Hidden Bridge,"Weapon_Teleport, Weapon_WaterBomb",,,,,,,,
,,,Hidden Realms,Hidden Bridge,"Weapon_Teleport, Blast",,,,,,,,
,,,Hidden Realms,Hidden Bridge,"Weapon_WaterBomb, Blast, PU_Stone_Creation",,,,,,,,
,,,Hidden Realms,Hidden Bridge,"Weapon_WaterBomb, Blast, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,The Enduring Fortress,"Blast, PU_Stone_Creation, D_DLCF_MastersIntroduction",,,,,,,,
,,,Hidden Realms,The Enduring Fortress,"D_DLCF_MastersIntroduction, Blast, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,The Enduring Fortress,"D_DLCF_MastersIntroduction, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,The Enduring Fortress,"D_DLCF_MastersIntroduction, Weapon_Teleport, Weapon_WaterBomb",,,,,,,,
,,,Hidden Realms,The Pioneer Facility,"Blast, PU_Stone_Creation, D_DLCF_MastersIntroduction",,,,,,,,
,,,Hidden Realms,The Pioneer Facility,"D_DLCF_MastersIntroduction, Blast, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,The Pioneer Facility,"D_DLCF_MastersIntroduction, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,The Pioneer Facility,"D_DLCF_MastersIntroduction, Weapon_Teleport, Weapon_WaterBomb",,,,,,,,
,,,Hidden Realms,The Privileged Keep,"Blast, PU_Stone_Creation, D_DLCF_MastersIntroduction",,,,,,,,
,,,Hidden Realms,The Privileged Keep,"D_DLCF_MastersIntroduction, Blast, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,The Privileged Keep,"D_DLCF_MastersIntroduction, Weapon_Teleport",,,,,,,,
,,,Hidden Realms,The Privileged Keep,"D_DLCF_MastersIntroduction, Weapon_Teleport, Weapon_WaterBomb",,,,,,,,
,,,Hidden Realms,The Masquerade Ball,"Weapon_WaterBomb, Weapon_Teleport, Blast",,,,,,,,
,,,Hidden Realms,The Masquerade Ball,"Weapon_WaterBomb, Weapon_Teleport",,,,,,,,
,,,Ephemeral Station,Intention Capital,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation",,,,,,,,
,,,Ephemeral Station,Intention Capital,"DLCF_EntranceAccessUnlocked, Weapon_Teleport",,,,,,,,
,,,Ephemeral Station,Intention Capital,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation, PU_Stone_Intention, Blast",,,,,,,,
,,,Ephemeral Station,Intention Capital,"DLCF_EntranceAccessUnlocked, Weapon_Teleport, PU_Stone_Intention, Blast",,,,,,,,
,,,Ephemeral Station,Hidden Realms,"Weapon_Teleport, PU_Stone_Creation, PU_Stone_Intention",,,,,,,,
,,,Hidden Bridge,Hidden Realms,Weapon_Teleport,,,,,,,,
,,,Hidden Bridge,Hidden Realms,None,,,,,,,,
,,,The Enduring Fortress,Hidden Realms,None,,,,,,,,
,,,The Privileged Keep,Hidden Realms,None,,,,,,,,
,,,The Pioneer Facility,Hidden Realms,None,,,,,,,,
,,,Masters' Auditorium,Hidden Realms,None,,,,,,,,
,,,The Masquerade Ball,Hidden Realms,Weapon_Teleport,,,,,,,,
,,,Exile of Contemplations,Hidden Realms,None,,,,,,,,
,,,Golden Fortress,The Salt Is Hesitant,FinalBoss_Kill,,,,,,,,
,,,The Salt Is Hesitant,The Colossal Bridge,PU_Stone_Intention,,,,,,,,
