Duck,Duck Id,Column,Dlc,Unique Quack,Special Spawn,Include,,Duck Name,Event Duck?,Seasonal Duck?,Ducks Required,Special Duck Properties,Map,,Map Name,Id,,DLC
Glow in the Duck,Duck15Glow,3,Base Game,FALSE,FALSE,TRUE,,Metallic Pink Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Wireframe Duck,Duck42Wireframe,3,Base Game,FALSE,FALSE,TRUE,,Panda Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Wood Duck,Duck3Wood,4,Base Game,FALSE,FALSE,TRUE,,Flower Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Panda Duck,Duck37Panda,4,Base Game,FALSE,FALSE,TRUE,,Lightning Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Imposter Duck,Duck23Spy,4,Base Game,TRUE,FALSE,TRUE,,Cacti Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Dragon Duck,Duck2Dragon,4,Base Game,FALSE,FALSE,TRUE,,KISS Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Murdurous Duck,Duck41Knife,4,Base Game,FALSE,FALSE,TRUE,,Leopard Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Plaid Duck,Duck4Fabric,5,Base Game,FALSE,FALSE,TRUE,,Anime Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Flower Duck,Duck14Flower,5,Base Game,FALSE,FALSE,TRUE,,Camo Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Tiger Duck,Duck24Tiger,5,Base Game,FALSE,FALSE,TRUE,,Fowl Language Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Firefighter Duck,Duck9Fireman,5,Base Game,FALSE,FALSE,TRUE,,Gay Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Gold Duck,Duck16Gold,5,Base Game,FALSE,FALSE,TRUE,,Imposter Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Stone Duck,Duck5Stone,6,Base Game,FALSE,FALSE,TRUE,,Tiger Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Lightning Duck,Duck32Lightnight,6,Base Game,FALSE,FALSE,TRUE,,Black Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Black Duck,Duck25Black,6,Base Game,FALSE,FALSE,TRUE,,Space Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Magma Duck,Duck31Lava,6,Base Game,FALSE,FALSE,TRUE,,Pink Lightning Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Graffiti Duck,Duck29Graffiti,6,Base Game,FALSE,FALSE,TRUE,,Fractured Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Marble Duck,Duck6Marble,7,Base Game,FALSE,FALSE,TRUE,,8-Ball Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Cacti Duck,Duck44Cactus,7,Base Game,FALSE,FALSE,TRUE,,Sea Green Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Space Duck,Duck38Scifi,7,Base Game,FALSE,FALSE,TRUE,,Submarine Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Cow Duck,Duck11Cow,7,Base Game,FALSE,FALSE,TRUE,,Glow in the Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
LSDuck,Duck22Psichedelic,7,Base Game,TRUE,FALSE,TRUE,,Dragon Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Red Duck,Duck35Red,8,Base Game,FALSE,FALSE,TRUE,,Firefighter Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
KISS Duck,Duck17Kiss,8,Base Game,TRUE,FALSE,TRUE,,Magma Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Pink Lightning Duck,Duck27Flash,8,Base Game,FALSE,FALSE,TRUE,,Cow Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Calavera Duck,Duck13Calavera,8,Base Game,FALSE,FALSE,TRUE,,Calavera Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Propeller Hat Duck,Duck8HatProp,9,Base Game,FALSE,FALSE,TRUE,,Cartoon Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Leopard Duck,Duck18Leopard,9,Base Game,FALSE,FALSE,TRUE,,Fancy Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Fractured Duck,Duck28Fracture,9,Base Game,FALSE,FALSE,TRUE,,MLG Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Cartoon Duck,Duck26BW,9,Base Game,FALSE,FALSE,TRUE,,Arizona Tea Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Polka Dot Duck,Duck43Pois,10,Base Game,FALSE,FALSE,TRUE,,Wireframe Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Anime Duck,Duck19Manga,10,Base Game,FALSE,FALSE,TRUE,,Murdurous Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
8-Ball Duck,Duck45N8,10,Base Game,FALSE,FALSE,TRUE,,Gold Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Fancy Duck,Duck10Lord,10,Base Game,FALSE,FALSE,TRUE,,Graffiti Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Paper Duck,DLC1Duck1Paper,1,"Ducks, Please",FALSE,FALSE,TRUE,,LSDuck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Donut Duck,DLC1Duck18Donut,1,"Ducks, Please",FALSE,FALSE,TRUE,,Doodle Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Unicorn Duck,DLC1Duck11Unicorn,1,"Ducks, Please",FALSE,FALSE,TRUE,,Chameleon Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Chameleon Duck,DLC1Duck3Chamaleon,2,"Ducks, Please",FALSE,FALSE,TRUE,,Watermelon Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Crystalline Duck,DLC1Duck21Crystal,2,"Ducks, Please",FALSE,FALSE,TRUE,,Negative Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
FBDUCK,DLC1Duck16Business,2,"Ducks, Please",FALSE,FALSE,TRUE,,Potted Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Watermelon Duck,DLC1Duck5Watermelon,3,"Ducks, Please",FALSE,FALSE,TRUE,,Big Head Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Egged Duck,DLC1Duck24Egg,3,"Ducks, Please",FALSE,FALSE,TRUE,,Strawberry Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Quackboard Duck,DLC1Duck23Phrase,3,"Ducks, Please",FALSE,FALSE,TRUE,,Sad Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Negative Duck,DLC1Duck7Magnet2,4,"Ducks, Please",FALSE,FALSE,TRUE,,Injured Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Depressed Duck,DLC1Duck25Clown,4,"Ducks, Please",TRUE,FALSE,TRUE,,Sponge Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Duck of Hearts,DLC1Duck19Card,4,"Ducks, Please",FALSE,FALSE,TRUE,,Donut Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Potted Duck,DLC1Duck8FlowerPot,5,"Ducks, Please",FALSE,FALSE,TRUE,,Crystalline Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Disco Duck,DLC1Duck27Disco,5,"Ducks, Please",TRUE,FALSE,TRUE,,Egged Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
China Duck,DLC1Duck20Kitsnugi,5,"Ducks, Please",FALSE,FALSE,TRUE,,Depressed Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Big Head Duck,DLC1Duck12BigHeaded,6,"Ducks, Please",FALSE,FALSE,TRUE,,Disco Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Buck,DLC1Duck2Bee,6,"Ducks, Please",FALSE,FALSE,TRUE,,Buck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Baseball Duck,DLC1Duck22Baseball,6,"Ducks, Please",FALSE,FALSE,TRUE,,Firequacker Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Strawberry Duck,DLC1Duck13Strawberry,7,"Ducks, Please",FALSE,FALSE,TRUE,,Positive Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Firequacker Duck,DLC1Duck4Firework,7,"Ducks, Please",FALSE,FALSE,TRUE,,Tesla Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Turbolento Duck,DLC1Duck26Turbolento,7,"Ducks, Please",FALSE,FALSE,TRUE,,Scrooge McDuck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Sad Duck,DLC1Duck14Sad,8,"Ducks, Please",FALSE,FALSE,TRUE,,Unicorn Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Positive Duck,DLC1Duck6Magnet,8,"Ducks, Please",FALSE,FALSE,TRUE,,FBDUCK,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Injured Duck,DLC1Duck15BendAid,9,"Ducks, Please",FALSE,FALSE,TRUE,,Quackboard Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Tesla Duck,DLC1Duck9Popcorn,9,"Ducks, Please",TRUE,FALSE,TRUE,,Duck of Hearts,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Sponge Duck,DLC1Duck17Cheese,10,"Ducks, Please",FALSE,FALSE,TRUE,,China Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Scrooge McDuck,DLC1Duck10Candle,10,"Ducks, Please",FALSE,FALSE,TRUE,,Baseball Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Shark Duck,DLC3Duck1Shark,1,Duck Addiction,TRUE,FALSE,TRUE,,Turbolento Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Matryoshka Duck,DLC3Duck19Matrioska1,1,Duck Addiction,FALSE,FALSE,TRUE,,Shark Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Slim'd Duck,DLC3Duck27Slime,1,Duck Addiction,FALSE,FALSE,TRUE,,Tabby Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Tabby Duck,DLC3Duck2Cat,2,Duck Addiction,TRUE,FALSE,TRUE,,Bull Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Mediumoshka Duck,DLC3Duck20Matrioska2,2,Duck Addiction,FALSE,TRUE,FALSE,,Lancelot Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Overalls Duck,DLC3Duck24Chewingum,2,Duck Addiction,FALSE,FALSE,TRUE,,Birthday Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Bull Duck,DLC3Duck3Bull,3,Duck Addiction,FALSE,FALSE,TRUE,,Elvis Quackly,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Smalltryoshka Duck,DLC3DuckMatrioska3,3,Duck Addiction,FALSE,TRUE,FALSE,,Luchaduck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Ship in a Beak-le,DLC3Duck14Glass,3,Duck Addiction,FALSE,FALSE,TRUE,,DIY Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Lancelot Duck,DLC3Duck5Knight,4,Duck Addiction,FALSE,FALSE,TRUE,,Stamped Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Ranch Pizza Duck,DLC3Duck22Pizza,4,Duck Addiction,FALSE,FALSE,TRUE,,Starry Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Duck of Spades,DLC3Duck11CardTwo,4,Duck Addiction,FALSE,FALSE,TRUE,,Matryoshka Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Birthday Duck,DLC3Duck6Party,5,Duck Addiction,FALSE,FALSE,TRUE,,Mediumoshka Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Crossword Duck,DLC3Duck26Crossword,5,Duck Addiction,FALSE,FALSE,TRUE,,Smalltryoshka Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Piquackso Duck,DLC3Duck16Picasso,5,Duck Addiction,FALSE,FALSE,TRUE,,Ranch Pizza Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Elvis Quackly,DLC3Duck8Afro,6,Duck Addiction,FALSE,FALSE,TRUE,,Crossword Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Shinobi Duck,DLC3Duck9Ninja,6,Duck Addiction,TRUE,FALSE,TRUE,,Shinobi Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
CENSORED Duck,DLC3Duck10PixelShape,6,Duck Addiction,FALSE,FALSE,TRUE,,Steampunk Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Luchaduck,DLC3Duck13Luchador,7,Duck Addiction,FALSE,FALSE,TRUE,,Cyber-Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Steampunk Duck,DLC3Duck7Steampunk,7,Duck Addiction,FALSE,FALSE,TRUE,,Robo-Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Groovy Duck,DLC3Duck12Rave,7,Duck Addiction,FALSE,FALSE,TRUE,,Ghost Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
DIY Duck,DLC3Duck15Scissors,8,Duck Addiction,FALSE,FALSE,TRUE,,Slim'd Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Cyber-Duck,DLC3Duck25Cyborg,8,Duck Addiction,TRUE,FALSE,TRUE,,Overalls Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Stamped Duck,DLC3Duck17Stamps,9,Duck Addiction,FALSE,FALSE,TRUE,,Ship in a Beak-le,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Robo-Duck,DLC3Duck23Yatta,9,Duck Addiction,FALSE,FALSE,TRUE,,Duck of Spades,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Starry Duck,DLC3Duck18Stars,10,Duck Addiction,FALSE,FALSE,TRUE,,Piquackso Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Ghost Duck,DLC3Duck4Ghost,10,Duck Addiction,TRUE,FALSE,TRUE,,CENSORED Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Sushi Duck,DLC5Duck1Sushi,1,So Many Ducks,FALSE,FALSE,TRUE,,Groovy Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Pressure Cooker Duck,DLC5Duck25Moka,1,So Many Ducks,TRUE,FALSE,TRUE,,Sushi Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Froggy Duck,DLC5Duck18Frog,1,So Many Ducks,FALSE,FALSE,TRUE,,Snail Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Snail Duck,DLC5Duck2Snail,2,So Many Ducks,FALSE,FALSE,TRUE,,Polly Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Milk Duck,DLC5Duck26Milk,2,So Many Ducks,FALSE,FALSE,TRUE,,Charlie Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Puffer-Duck,DLC5Duck19PufferFish,2,So Many Ducks,FALSE,FALSE,TRUE,,Rainy Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Polly Duck,DLC5Duck4Parrot,3,So Many Ducks,TRUE,FALSE,TRUE,,Banana Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
SW_CreeperDuck,DLC5Duck3Nerd,3,So Many Ducks,FALSE,FALSE,TRUE,,Fabriquackted Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Disk Drive Duck,DLC5Duck27Safe,3,So Many Ducks,FALSE,FALSE,TRUE,,PJs Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Charlie Duck,DLC5Duck6Elio,4,So Many Ducks,FALSE,FALSE,TRUE,,Piggy Bank Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Crypto Duck,DLC5Duck5Crypto,4,So Many Ducks,FALSE,FALSE,TRUE,,Thief Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Arcade Duck,DLC5Duck12CoinOp,4,So Many Ducks,TRUE,FALSE,TRUE,,Pressure Cooker Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Rainy Duck,DLC5Duck7Rain,5,So Many Ducks,FALSE,FALSE,TRUE,,Milk Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Red Jello Duck,DLC5Duck9RedJello,5,So Many Ducks,FALSE,FALSE,TRUE,,SW_CreeperDuck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Retro Duck,DLC5Duck22Pattern90s,5,So Many Ducks,FALSE,FALSE,TRUE,,Crypto Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Banana Duck,DLC5Duck8Ananas,6,So Many Ducks,FALSE,FALSE,TRUE,,Red Jello Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Yellow Jello Duck,DLC5Duck10YellowJello,6,So Many Ducks,FALSE,FALSE,TRUE,,Yellow Jello Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Holo-Duck,DLC5Duck24Hologram,6,So Many Ducks,FALSE,FALSE,TRUE,,Blue Jello Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Fabriquackted Duck,DLC5Duck16Amigurumi,7,So Many Ducks,FALSE,FALSE,TRUE,,Boxing Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Blue Jello Duck,DLC5Duck11BlueJello,7,So Many Ducks,FALSE,FALSE,TRUE,,Ladybug Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
SuperHero Duck,DLC5Duck23Superhero,7,So Many Ducks,FALSE,TRUE,FALSE,,Diver Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
PJs Duck,DLC5Duck17CactusDuck,8,So Many Ducks,FALSE,FALSE,TRUE,,Froggy Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Boxing Duck,DLC5Duck13Punch,8,So Many Ducks,FALSE,FALSE,TRUE,,Puffer-Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Piggy Bank Duck,DLC5Duck20PiggyBank,9,So Many Ducks,TRUE,FALSE,TRUE,,Disk Drive Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Ladybug Duck,DLC5Duck14Ladybug,9,So Many Ducks,FALSE,FALSE,TRUE,,Arcade Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
